temp,icon,precip,wind360,windSpeed,humidity,pressure,solar1,solar2,solar3,solar
22,100,0.0,135,17,32,990,0.0,0.057156000286340714,0.07274399697780609,0.0
22,100,0.0,135,8,33,989,0.0,0.057156000286340714,0.07274399697780609,0.0
22,100,0.0,135,8,34,988,0.0,0.057156000286340714,0.07274399697780609,0.0
21,100,0.0,90,7,40,987,0.0,0.057156000286340714,0.07274399697780609,0.0
20,100,0.0,270,5,42,987,0.0,0.057156000286340714,0.07274399697780609,0.0
21,100,0.0,90,6,40,986,0.0,0.057156000286340714,0.07274399697780609,0.6183239817619324
22,100,0.0,0,13,37,986,1.7718360424041748,1.8289920091629028,2.8967700004577637,2.239475965499878
22,100,0.0,45,31,35,986,6.040349960327148,6.1468682289123535,7.752431869506836,6.469019889831543
22,100,0.0,0,19,37,989,15.154133796691895,14.717670440673828,13.205634117126465,14.517623901367188
23,100,0.0,45,33,36,991,29.44573211669922,28.198692321777344,18.393840789794922,26.915279388427734
25,100,0.0,45,33,36,993,46.85752868652344,46.03656005859375,8.279826164245605,43.51649856567383
25,100,0.0,45,34,40,994,49.56724166870117,47.17708206176758,1.3119900226593018,46.252193450927734
25,100,0.0,45,22,40,994,48.12275314331055,45.91445541381836,12.049524307250977,45.25716018676758
26,100,0.0,45,17,39,994,43.363216400146484,44.358253479003906,40.39370346069336,40.95746994018555
26,100,0.0,90,19,36,994,35.6523551940918,11.937809944152832,36.335628509521484,33.40508270263672
26,100,0.0,90,15,36,994,23.226119995117188,20.11111831665039,23.2598934173584,21.332178115844727
26,100,0.0,90,13,38,994,10.32445240020752,10.823267936706543,3.7826879024505615,8.305806159973145
24,100,0.0,135,14,42,994,2.2342801094055176,4.008714199066162,1.2444419860839844,2.283642053604126
23,100,0.0,90,12,44,995,0.09352800250053406,0.1688700020313263,0.22342799603939056,0.16107599437236786
23,100,0.0,135,7,45,996,0.09352800250053406,0.1688700020313263,0.22342799603939056,0.16107599437236786
22,100,0.0,90,14,45,997,0.09352800250053406,0.1688700020313263,0.22342799603939056,0.16107599437236786
21,100,0.0,180,13,48,997,0.09352800250053406,0.1688700020313263,0.22342799603939056,0.16107599437236786
19,100,0.0,180,9,57,997,0.09352800250053406,0.1688700020313263,0.22342799603939056,0.16107599437236786
18,100,0.0,270,6,61,997,0.0,0.0,0.057156000286340714,0.0675479993224144
18,100,0.0,225,9,62,998,0.0,0.0,0.057156000286340714,0.0675479993224144
17,100,0.0,180,4,63,997,0.0,0.0,0.057156000286340714,0.0675479993224144
17,100,0.0,135,7,63,996,0.0,0.0,0.057156000286340714,0.0675479993224144
17,100,0.0,0,4,59,996,0.0,0.0,0.057156000286340714,0.0675479993224144
17,100,0.0,135,6,62,997,0.6183239817619324,0.0,0.057156000286340714,0.0675479993224144
17,100,0.0,270,1,62,995,2.239475965499878,1.7718360424041748,1.8289920091629028,2.364180088043213
19,101,0.0,90,2,56,997,6.469019889831543,6.040349960327148,6.1468682289123535,6.78857421875
21,101,0.0,315,1,49,996,14.517623901367188,15.154133796691895,14.717670440673828,14.263019561767578
22,100,0.0,90,6,49,997,26.915279388427734,29.44573211669922,28.198692321777344,26.421659469604492
24,100,0.0,45,14,35,996,43.51649856567383,46.85752868652344,46.03656005859375,43.88801574707031
25,100,0.0,45,14,27,996,46.252193450927734,49.56724166870117,47.17708206176758,40.34693908691406
26,100,0.0,225,4,28,995,45.25716018676758,48.12275314331055,45.91445541381836,40.70286560058594
27,100,0.0,45,4,25,995,40.95746994018555,43.363216400146484,44.358253479003906,43.048858642578125
28,100,0.0,90,21,25,994,33.40508270263672,35.6523551940918,11.937809944152832,35.95372009277344
